0	0	0	0,005677	0,011867
0,07	0,000185	0,002124	0,009974	0,011533
0,14	0,003601	0,005641	0,017444	0,01412
0,21	0,004685	0,006194	0,016356	0,014524
0,28	0,005782	0,002261	0,016064	0,014139
0,35	0,006534	0,001819	0,01711	0,013226
0,42	0,007581	-0,002615	0,016851	0,010774
0,49	0,007585	-0,004486	0,016838	0,009585
0,56	0,00758	-0,005878	0,016838	0,007497
0,63	0,006119333	-0,008712667	0,014647	0,003245
0,7	0,002035333	-0,008942667	0,008521	0,0029
0,77	-0,000129333	-0,008068	0,005274	0,004212
0,84	-0,001618	-0,007747333	0,003041	0,004693
0,91	-0,001792	-0,005382	0,00278	0,008241
0,98	0	0	0,005677	0,011867
